Taxon,ERR2653988,ERR2653989,ERR2653990,ERR2653991,ERR2653992,ERR2653993,ERR2653994,ERR2653995,ERR2653996,ERR2653997,ERR2653998,ERR2653999,ERR2654000,ERR2654001,ERR2654002,ERR2654003,ERR2654004,ERR2654005,ERR2654006,ERR2654007,ERR2654008,ERR2654009,ERR2654010,ERR2654011,ERR2654012,ERR2654013,ERR2654014,ERR2654015,ERR2654016,ERR2654017,ERR2654018,ERR2654019,ERR2654020,ERR2654021,ERR2654022,ERR2654023,ERR2654024,ERR2654025,ERR2654026,ERR2654028,ERR2654029,ERR2654030,ERR2654031,ERR2654032,ERR2654033,ERR2654034,ERR2654035,ERR2654036,ERR2654037,ERR2654038,ERR2654039,ERR2654040,ERR2654042,ERR2654043,ERR2654044,ERR2654045,ERR2654046,ERR2654047,ERR2654048,ERR2654049,ERR2654050,ERR2654051,ERR2654052,ERR2654053,ERR2654054,ERR2654055,ERR2654116,ERR2654117,ERR2654118,ERR2654119,ERR2654120,ERR2654121,ERR2654122,ERR2654123,ERR2654124,ERR2654125,ERR2654126,ERR2654127,ERR2654128,ERR2654129,ERR2654130,ERR2654131,ERR2654132,ERR2654133,ERR2654134,ERR2654135,ERR2654136,ERR2654137,ERR2654138,ERR2654139,ERR2654140,ERR2654141,ERR2654142,ERR2654143,ERR2654144,ERR2654145,ERR2654146,ERR2654147,ERR2654148,ERR2654149,ERR2654150,ERR2654151,ERR2654152,ERR2654153,ERR2654154,ERR2654155,ERR2654156,ERR2654157,ERR2654158,ERR2654159,ERR2654160,ERR2654161,ERR2654162,ERR2654163,ERR2654164,ERR2654165,ERR2654166,ERR2654167,ERR2654168,ERR2654169,ERR2654170,ERR2654171,ERR2654172,ERR2654173,ERR2654174,ERR2654175,ERR2654176,ERR2654177,ERR2654178,ERR2654179,ERR2654180,ERR2654181,ERR2654182,ERR2654183,ERR2654184,ERR2654185,ERR2654186,ERR2654187,ERR2654188,ERR2654189,ERR2654190,ERR2654191,ERR2654192,ERR2654193,ERR2654194,ERR2654195,ERR2654196,ERR2654197,ERR2654198,ERR2654199,ERR2654200,ERR2654201,ERR2654202,ERR2654203,ERR2654204,ERR2654205,ERR2654206,ERR2654207,ERR2654208,ERR2654209,ERR2654210,ERR2654211,ERR2654212,ERR2654213,ERR2654214,ERR2654215,ERR2654216,ERR2654217,ERR2654218,ERR2654219,ERR2654220,ERR2654222,ERR2654223,ERR2654224,ERR2654225,ERR2654226,ERR2654227,ERR2654228
Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005832896625578164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014319278197161168,0.0,0.0,0.0,0.0001992684003017493,0.0002691138082295003,0.0,0.0,0.0,0.0,0.0001943340818794265,0.00028908975273189816,0.0,0.0,0.0,0.005678257401674991,0.0007451710952054122,0.0010690250006074006,0.0,0.0,7.701786814540974e-05,0.00029495965992886266,0.0,0.0,0.0,0.0,0.0,0.0,0.0018125695416532069,0.0,0.0,0.0,9.37573247909993e-05,0.0005743825387708214,0.001133244798583444,0.0,0.0,0.0029059423555924564,0.0,0.0033409530508176546,0.0,0.0027526320270155227,0.0,0.0,0.0,0.0,0.0001610738255033557,0.0,0.00010403120936280885,0.0,0.0004692422854333788,0.0,0.0009168825991628463,0.0,0.0,0.0,0.0,0.0002292701566679404,0.0,0.0,0.0,0.0,0.007598290384663451,0.0011286985031307946,0.0,0.0,0.0015143665564101541,0.0,0.0,0.0,0.0,0.00017410228509249183,0.0004257079881915765,0.0013041763974401747,0.0,0.0002308669052291354,0.0,0.0,0.0,0.0,0.0,0.0001708006756115613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.241937497399193e-05,0.0,0.0,0.0022460805893715465,0.0012451549414576346,0.0,0.0,0.00032805087312001615,0.0,0.0,0.0,0.0,0.0008857902105894791,0.0,0.0,0.0002765541354720186,0.0,0.0,0.0014511374801602296,0.0014700152314831214,0.0,8.997660608241857e-05,0.0,0.0,0.0,0.0,0.0,0.0010478207557685878,0.0,0.0,0.0011058610636372776,0.0,0.0,0.00011363636363636364,0.0,0.0,0.0,0.0,0.0,4.9646270323941914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016858504825020347,0.00018315018315018315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014398848092152627
k__Archaea; p__Crenarchaeota; c__MCG; o__pGrfC26; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002627134546819291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__SCA1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130605137135394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__SCA1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020836227253785247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria,0.7941176470588235,0.9811681090750861,0.9851128487042031,0.6130653266331659,0.0,0.9727843684577808,0.9307471264367817,0.0,0.0,0.0,0.546111111111111,0.6405228758169934,0.591715976331361,0.6838709677419353,1.0,1.0,0.0,0.8163934426229507,0.0,0.0,1.0,0.00012344155042587335,0.5322746018364499,0.0,0.0,0.0,0.0,0.00011150509578287729,4.0841331427404534e-05,3.640334910811795e-05,0.0,0.00027188689505165854,0.701644631660897,0.0,4.5774271807625993e-05,0.0,0.9638897191738901,0.2955946069592828,0.0,8.145754704173342e-05,4.945109286915241e-05,0.75107683061204,0.9100017274140616,0.90610364831268,0.0,0.0,0.0,0.7026606149229918,0.8166094715168138,0.8172453169416158,4.2088427786780027e-05,0.0,0.2775338878619842,0.8500910904832131,4.3521782652217434e-05,0.44708244059683055,5.6480422473560104e-05,0.0,7.092114750416662e-05,0.00011083279764147807,0.6073723125515958,0.0004959411135183107,0.00042971147943523635,0.0,0.700695366825534,0.9105816086416786,0.4958123063302333,0.0010882673019794703,0.0016273189294745013,0.7094057644407542,0.0028159772534652925,0.6793438669647601,0.0,0.510088254490761,0.000345587993285719,0.002651241262954929,0.0003325942350332594,0.00021377570652871008,0.7700044742729308,0.0010701501900439129,0.765184221933245,0.00021982853374367993,0.8086832167675926,0.0,0.829041259716961,0.0,0.0,0.7891809908998987,0.0,0.8511272449369509,0.0,0.21843620791494392,0.9019607843137255,0.00011902872559911124,0.8667049913769403,0.7533525032920363,0.00014651094646071414,0.00043657856735063974,0.7048778543816999,0.6792647279268457,0.6612169322591449,0.00019314607361624634,0.0015148600557853228,0.8865723612622416,0.8630612780788235,0.8441964150313888,0.0,0.9424756627804056,0.8956461644782309,0.00021156287263915068,0.0,0.37952406675575034,0.0,0.48442867174007953,0.73487616727568,0.0003590793206219253,0.00010984424086645138,0.0,0.0,0.43878782253573406,0.4397865659067118,0.28623444717240226,0.27420981842636194,0.0,0.7095817797942596,0.8861687385777121,0.0,0.0015299942625215156,0.4261633188654487,0.00015269118208423465,0.3897604370455126,0.0022860875244937948,0.0,0.8896048232705647,0.0,0.0,0.7663512632597834,0.0,0.0,0.9670470863880279,0.9727604406503494,0.6283540248297955,0.6388788914882132,0.16910378762326148,0.15550735209429128,0.37686294945283944,0.00025480411933326253,0.0,0.84360717868688,0.0050785096128931955,0.0019515856633514732,0.6779933648336185,0.007833720426721254,0.0,0.002329545454545455,0.0,0.00033088677656118397,0.9343563172578724,0.0,0.9215025906735751,0.16040709941665643,0.0,0.7506568692941442,0.0007777910733516813,0.6095490355881548,0.0,0.97561488332983,0.9474665637860081,0.9707592140448783,0.8841025641025645,0.0004991831548375386,0.0,0.000670391061452514,0.0,0.0001820830298616169,0.959841421334704,0.00041770003915937866,0.9056515478761693
k__Bacteria; p__; c__; o__; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033037891043313813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759060766567961,0.0,0.0,0.0,0.0004270037149323199,0.0,0.0,0.0,0.0,0.003180406691375338,0.0009500777336327518,0.001387630813113111,0.0,0.0,0.0,0.005887156503408854,0.0004510246102559074,0.0009718409096430915,0.0,0.0,0.015134011090573012,0.00602064717619502,0.0,0.003841179763352443,0.0,0.0,0.0,0.0,0.0007537417895983633,0.0,0.0,0.0,0.0017188842878349871,0.0003335124418669285,0.005506861443116423,0.0,0.0,0.0038844739651286916,0.0,0.003968951744580371,0.0,0.005420131104741905,0.0,0.0,0.0,0.0,0.0022192393736017897,0.0,0.002011270047680971,0.0,0.03130516389962684,0.0,0.026968307753637632,0.0,0.0,0.0,0.0,0.0026748184944593045,0.0,0.0,0.0,0.0,0.0012747131895323553,0.0012630673725511274,0.0,0.0,0.006515761367712111,0.010099685204617,0.015718872495912698,0.0,0.0,0.0008487486398258976,0.0017426177460552388,0.012859785872433352,0.0,0.0008465119858401632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003248561351401522,0.00025530393933978403,0.0012275810411551747,0.0011768661735036985,0.0,0.01599209379632541,0.0,0.0,0.0,0.0011860300797415968,0.0,0.0004429515337196855,0.0,0.0,0.0009715118438723319,0.0,0.0,0.001659324812832112,0.0,0.0,0.0007558007709167863,0.000655307994757536,0.0,0.00040489472737088357,0.00029761314259637705,0.0003839213729028295,0.0,0.0,0.0,0.0009363504626017167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-5; o__; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9676241866370415e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.386189809328881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.025548324897566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374976093839648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__CCU21; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011150509578287727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001502140550284155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003109291599730528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010772379618657762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
