Taxon,ERR5261893,ERR5261895,ERR5261896,ERR5261898,ERR5261899,ERR5261900,ERR5261901,ERR5261902,ERR5261903,ERR5261904,ERR5261905,ERR5261906,ERR5261907,ERR5261908,ERR5261909,ERR5261910,ERR5261911,ERR5261912,ERR5261913,ERR5261914,ERR5261915,ERR5261916,ERR5261917,ERR5261918,ERR5261919,ERR5261920,ERR5261921,ERR5261922,ERR5261923,ERR5261924,ERR5261925,ERR5261926,ERR5261927,ERR5261928
Unassigned,0.0,0.0,0.0003972983710766786,0.00023006134969325153,0.0,0.00021315144410103377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021205909380080584,0.0,0.001938094966653366,0.000821287779237845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006812569190155838,0.00018656716417910448,0.0,0.0,0.0,0.00046396535725332506,0.000262639527248851
k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01977611940298507,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__SAGMA-X; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010883084577114427,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037313432835820896,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010190399570930543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanocorpusculaceae; g__Methanocalculus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009189227398034919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__Marine group II; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006972378653794583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__WCHD3-30; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046396535725332506,0.0
k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0
k__Bacteria,0.5031208027178633,0.7631951466127403,0.007548669050456893,0.01602760736196319,0.6666095743769809,0.014281146754769268,0.5605499735589647,0.6047561709813366,0.01855586930213798,0.24533644237175226,0.5658402612826605,0.01721439749608764,0.4660582289938151,0.4857078381224611,0.4490569015862996,0.008694422845833041,0.3955535881166692,0.028501396568431852,0.023160315374507252,0.5814067879980307,0.6139705882352928,0.6300460339943348,0.5425769059295585,0.014102842265133439,0.011322280630812781,0.44106045910119634,0.0076696165191740395,0.018564251043174634,0.014925373134328367,0.7445357930619615,0.5175790357176148,0.02426329889016457,0.03670481492937408,0.0118844386080105
