Taxon,ERR1514167,ERR1514168,ERR1514169,ERR1514170,ERR1514171,ERR1514173,ERR1514174,ERR1514175,ERR1514176,ERR1514177,ERR1514178,ERR1514179,ERR1514180,ERR1514181,ERR1514182,ERR1514183,ERR1514184,ERR1514185,ERR1514186,ERR1514187,ERR1514188,ERR1514189,ERR1514190,ERR1514191,ERR1514192,ERR1514193,ERR1514194,ERR1514195,ERR1514196,ERR1514197,ERR1514198,ERR1514199,ERR1514200,ERR1514201,ERR1514202,ERR1514203,ERR1514204,ERR1514205,ERR1514206,ERR1514207,ERR1514208,ERR1514209,ERR1514210,ERR1514211,ERR1514212,ERR1514213,ERR1514214,ERR1514215,ERR1514216,ERR1514217,ERR1514218,ERR1514219,ERR1514220,ERR1514221,ERR1514222,ERR1514223,ERR1514224,ERR1514225,ERR1514226,ERR1514227,ERR1514228,ERR1514229,ERR1514230,ERR1514231,ERR1514232,ERR1514233,ERR1514235,ERR1514236,ERR1514237,ERR1514238,ERR1514239,ERR1514240,ERR1514241,ERR1514242,ERR1514243,ERR1514244,ERR1514245,ERR1514246,ERR1514247,ERR1514248,ERR1514249,ERR1514250,ERR1514251,ERR1514252,ERR1514253,ERR1514254,ERR1514255,ERR1514256,ERR1514257,ERR1514258,ERR1514259,ERR1514260,ERR1514261,ERR1514262,ERR1514263,ERR1514264,ERR1514265,ERR1514266,ERR1514267,ERR1514268,ERR1514269,ERR1514270,ERR1514271,ERR1514272,ERR1514273,ERR1514274,ERR1514275,ERR1514276,ERR1514277,ERR1514278,ERR1514279,ERR1514280,ERR1514281,ERR1514282,ERR1514283,ERR1514284,ERR1514285,ERR1514286,ERR1514287,ERR1514288,ERR1514289,ERR1514290,ERR1514291,ERR1514292,ERR1514293,ERR1514294,ERR1514295,ERR1514296,ERR1514297,ERR1514298,ERR1514299,ERR1514300,ERR1514301,ERR1514302,ERR1514303,ERR1514304,ERR1514305,ERR1514306,ERR1514307,ERR1514308,ERR1514309,ERR1514310,ERR1514311,ERR1514312,ERR1514313,ERR1514314,ERR1514315,ERR1514316,ERR1514317,ERR1514318,ERR1514319,ERR1514320,ERR1514321,ERR1514322,ERR1514323,ERR1514324,ERR1514325,ERR1514326,ERR1514327,ERR1514328,ERR1514329,ERR1514330,ERR1514331,ERR1514332,ERR1514333,ERR1514334,ERR1514335,ERR1514336,ERR1514337,ERR1514338,ERR1514339,ERR1514340,ERR1514341,ERR1514342,ERR1514343,ERR1514344,ERR1514345,ERR1514346,ERR1514347,ERR1514348,ERR1514349,ERR1514350,ERR1514351,ERR1514352,ERR1514353,ERR1514354,ERR1514355,ERR1514356,ERR1514357,ERR1514358,ERR1514359,ERR1514360,ERR1514361,ERR1514362,ERR1514363,ERR1514364,ERR1514365,ERR1514366,ERR1514367,ERR1514368,ERR1514369,ERR1514370,ERR1514371,ERR1514372,ERR1514373,ERR1514374,ERR1514375,ERR1514376,ERR1514377,ERR1514378,ERR1514379,ERR1514380,ERR1514381,ERR1514382,ERR1514383,ERR1514384,ERR1514385,ERR1514386,ERR1514387,ERR1514388,ERR1514389,ERR1514390,ERR1514391,ERR1514392,ERR1514393,ERR1514394,ERR1514395,ERR1514396,ERR1514397,ERR1514398,ERR1514400,ERR1514401,ERR1514402,ERR1514403,ERR1514404,ERR1514405,ERR1514406,ERR1514407,ERR1514408,ERR1514409,ERR1514410,ERR1514411,ERR1514412,ERR1514413,ERR1514414,ERR1514415,ERR1514416,ERR1514417,ERR1514418,ERR1514419,ERR1514420,ERR1514421,ERR1514422,ERR1514423,ERR1514424,ERR1514425,ERR1514426
k__Bacteria,0.28318916886047346,0.0,0.0,0.0,0.0,0.0,0.7682984509873478,0.0,0.0,0.5926078028747431,0.0,0.602074966532798,0.0,0.5993982874334642,0.4817024661893397,0.5852547287035761,0.0,0.854565270041172,0.0,0.4104151493080844,0.0027829313543599257,0.000775614674629644,0.0001889466225791214,0.644678546815004,0.0,0.391147365605777,0.4894194248507869,0.0033486009006581732,0.27501055297593924,0.0,0.651061355045071,0.5808282990028383,0.3862338443041779,0.4405218726016883,0.5964845725847246,0.0,0.0003550821127385708,0.0,0.0,0.4951976357591429,7.75614674629644e-05,0.0010376673238559717,0.0005357334190506804,0.49286956521739145,0.00011244167088322933,0.6232085468600713,0.0,0.3025758645024701,0.0,0.5647132560325918,0.0003202391118701964,0.0004958911873051856,0.0,0.0,0.7701993704092343,0.7098323114427124,0.0,0.7157211315504713,0.7996871333594057,0.0,0.0,0.0,0.0,0.0,0.5885093167701866,0.0,0.00042643923240938164,0.6313657407407405,0.6955424726661062,0.0,0.0,0.30852941176470566,0.0,0.0,0.0,0.8187919463087248,0.0,0.88,0.0,0.6901408450704225,0.6578947368421053,0.0,0.0,0.988857938718663,0.0,0.0,0.40384615384615385,1.0,0.8974358974358974,0.9230769230769231,0.0,0.0,0.0,0.5128205128205128,0.8319719953325555,0.0,0.0,1.0,0.4493670886075949,0.6795580110497238,0.7987012987012988,0.4925373134328358,0.9999999999999999,0.0,0.0,0.8663793103448276,0.772093023255814,0.0,0.7446808510638298,0.0,0.9446564885496183,0.0,0.0,1.0,0.0,0.0,0.40816326530612246,0.0,0.7741935483870968,0.0,0.8795379537953796,1.0,0.0,0.0,0.5514705882352942,0.5333333333333333,0.0,0.0,0.6418918918918919,0.9,0.0,0.0,0.3943661971830986,0.3770491803278688,0.8867924528301886,0.0,0.0,0.7192213615980435,0.0,0.0,0.9999999999999998,0.6988188976377954,0.19327731092436973,0.0,0.0,0.602112676056338,0.5596330275229359,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,1.0,0.9260355029585798,0.0,0.78,0.0,0.0,0.0,0.0,0.8659420289855072,0.0,0.0,0.0,0.0,0.0,0.884297520661157,0.9545454545454545,0.0,0.0,0.0,0.1702127659574468,0.3717948717948718,0.5259259259259259,0.0,0.0,0.0,0.6130653266331658,0.4285714285714286,0.0,0.0,0.5037593984962405,0.0,0.3656716417910448,0.0,0.0,0.988095238095238,0.0,0.0,0.0,0.0,1.0,0.9895953757225433,0.6842105263157895,0.0,1.0,0.0,0.0,0.0,0.8053691275167785,0.9609756097560974,0.0,0.02753441802252816,1.0,0.46735395189003437,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316770186335402,0.8154506437768241,0.0,0.6330935251798561,0.0,0.0,0.0,0.0,0.0,0.9781491002570695,0.0,0.6666666666666667,0.2549019607843137,0.5084427767354597,0.0,0.36515291936978683,0.0053226879574184965,0.0,0.928481411468179,0.6734939759036144,0.42902711323763953,0.6871165644171779,0.0,0.3687943262411348,0.0,0.42622950819672134,0.0,0.5187376725838264,0.4539325842696629,0.0,0.5343511450381679,0.5003695491500371,0.0,0.4572564612326043,0.0,0.452074391988555,0.5269709543568464,0.9201296787503683,0.0020477815699658703,0.2087447108603667,0.8188679245283025,0.9479515588765783
k__Bacteria; p__; c__; o__; f__; g__; s__,0.016422213864861476,0.0,0.0,0.0,0.0,0.0,0.017736786094359698,0.0,0.0,0.0053388090349075976,0.0,0.0,0.0,0.02730849340430456,0.046738265712012735,0.039900593676653315,0.0,0.0032090094453862917,0.0,0.037873270211216316,0.0,0.0,0.0,0.04036624987693217,0.0,0.03436747793527681,0.008681497558328812,0.00019244832762403295,0.00517095821021528,0.0,0.012212852573422507,0.11318145425431254,0.032261296463280235,0.3051419800460476,0.03351036924633283,0.0,0.0,0.0,0.0,0.11248614702622828,0.0,0.0,0.0,0.21947826086956523,0.0,0.06201685051680709,0.0,0.05081157374735357,0.0,0.08617988091507364,0.0,0.0,0.0,0.0,0.028045406849184395,0.04454458151732289,0.0,0.03516772298655124,0.029018380915134923,0.0,0.0,0.0,0.0,0.0,0.03204404291360813,0.0,0.0,0.024222883597883597,0.03692178301093356,0.0,0.0,0.06264705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.011142061281337047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.10501750291715284,0.0,0.0,0.0,0.3037974683544304,0.0,0.0,0.14925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14189189189189189,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.017427639624949042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975352112676056,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.07396449704142012,0.0,0.0,0.0,0.0,0.0,0.0,0.018115942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.04020100502512563,0.0,0.0,0.0,0.13533834586466165,0.0,0.12686567164179105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017608897126969416,0.0,0.0,0.011027095148078135,0.05421686746987951,0.019138755980861243,0.0,0.0,0.06028368794326241,0.0,0.0,0.0,0.047337278106508875,0.10561797752808989,0.0,0.10178117048346055,0.10199556541019955,0.0,0.06262425447316103,0.0,0.03505007153075823,0.04564315352697095,0.014146772767462424,0.0,0.0535966149506347,0.02672955974842767,0.0028343210512754443
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002473003050037095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Granulicella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005797773654916512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008434073657576609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019365770999757928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007183170856849666,0.005523040145082846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__Holophagaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008141112618724559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008116883116883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005326231691078562,0.0,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003328340822100183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001806140878988561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__iii1-8; o__DS-18; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008434073657576609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002811990326753276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,0.0,0.001417004048582996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006229235880398671,0.0,0.0011595547309833025,0.0008531761420926084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003135689851767389,0.0015978695073235686,0.0,0.0,0.0,0.0,0.00010376673238559718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000513083632632119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017164435290078954,0.0,0.0,0.0,0.0,0.0,0.0,0.0032958511050794883,0.0,0.00028078056998455706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
