Taxon,ERR1539891,ERR1539892,ERR1539893,ERR1539894,ERR1539895,ERR1539896,ERR1539897,ERR1539898,ERR1539899,ERR1539900,ERR1539901,ERR1539902,ERR1539903,ERR1539904,ERR1539905,ERR1539906,ERR1539907,ERR1539908,ERR1539909,ERR1539910,ERR1539911,ERR1539912,ERR1539913,ERR1539914,ERR1539915,ERR1539916,ERR1539917,ERR1539918,ERR1539919,ERR1539920,ERR1539921,ERR1539922,ERR1539923,ERR1539924,ERR1539925,ERR1539926,ERR1539928,ERR1539929,ERR1539930,ERR1539931,ERR1539932,ERR1539934,ERR1539935,ERR1539936,ERR1539937,ERR1539938,ERR1539939,ERR1539940,ERR1539941,ERR1539942,ERR1539943,ERR1539944,ERR1539945,ERR1539946,ERR1539947,ERR1539948,ERR1539949,ERR1539950,ERR1539951,ERR1539952,ERR1539953,ERR1539954,ERR1539955,ERR1539956,ERR1539957,ERR1539958,ERR1539959,ERR1539960,ERR1539961,ERR1539962,ERR1539963,ERR1539964,ERR1539965,ERR1539966,ERR1539967,ERR1539968,ERR1539969,ERR1539970,ERR1539971,ERR1539972,ERR1539973,ERR1539974,ERR1539975,ERR1539976,ERR1539977,ERR1539978,ERR1539979,ERR1539980,ERR1539981,ERR1539982,ERR1539983,ERR1539984,ERR1539985,ERR1539986,ERR1539987,ERR1539988,ERR1539989,ERR1539990,ERR1539991,ERR1539992,ERR1539993,ERR1539994,ERR1539995,ERR1539996,ERR1539997,ERR1539998,ERR1539999,ERR1540000,ERR1540001,ERR1540002,ERR1540003,ERR1540004,ERR1540005,ERR1540006,ERR1540007,ERR1540008,ERR1540009,ERR1540010,ERR1540011,ERR1540012,ERR1540013,ERR1540014,ERR1540015,ERR1540016,ERR1540017,ERR1540018,ERR1540019,ERR1540020,ERR1540021,ERR1540022,ERR1540023,ERR1540024,ERR1540025,ERR1540026,ERR1540027,ERR1540028,ERR1540029,ERR1540030,ERR1540031,ERR1540032,ERR1540033,ERR1540034,ERR1540035,ERR1540036,ERR1540037,ERR1540038,ERR1540039,ERR1540040,ERR1540041,ERR1540042,ERR1540043,ERR1540044,ERR1540045,ERR1540046,ERR1540047,ERR1540048,ERR1540049,ERR1540050,ERR1540051,ERR1540052,ERR1540053,ERR1540054,ERR1540055,ERR1540056,ERR1540057,ERR1540058,ERR1540059,ERR1540060,ERR1540061,ERR1540062,ERR1540063,ERR1540064,ERR1540065,ERR1540067,ERR1540068,ERR1540069,ERR1540070,ERR1540071,ERR1540072,ERR1540073,ERR1540074,ERR1540075,ERR1540076,ERR1540077,ERR1540078,ERR1540079,ERR1540080,ERR1540081,ERR1540082,ERR1540083,ERR1540084,ERR1540085,ERR1540086,ERR1540087,ERR1540088,ERR1540089,ERR1540090,ERR1540091,ERR1540092,ERR1540093,ERR1540094,ERR1540095,ERR1540096,ERR1540097,ERR1540098,ERR1540099,ERR1540100,ERR1540101,ERR1540102,ERR1540103,ERR1540104,ERR1540105,ERR1540106,ERR1540107,ERR1540108,ERR1540109,ERR1540110,ERR1540111,ERR1540112,ERR1540113,ERR1540114,ERR1540115,ERR1540116,ERR1540117,ERR1540118
Unassigned,0.0,0.0,0.00024914046539438933,0.004538998639293624,0.0,0.015327403387104881,0.008093909209180381,0.0,0.0,0.0,0.0,0.0,0.0,0.0013187532487534412,0.000999365109224728,0.0,0.0,0.0,0.0,0.0008020730503455084,0.0,0.0,0.0,0.0013874566419799382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002558202159171583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005937901047752217,0.0,0.0,0.0,0.0,0.0,0.0008728217515299754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001133606107302903,0.011150631335585985,0.0,0.001232598607888631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002042843906631987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006923859186013804,0.0,0.0,0.0011504093316924394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008143555161871017,0.0,0.0,0.0007777873800911123,0.0,0.0,0.0,0.0,0.0002630351869343249,0.0,0.0,0.0,0.00016364981785063753,0.0,0.002058229174462989,0.0003632435739344059,0.0,0.0,0.00043171879787204414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026573998364677024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010433854217218287,0.0,0.0,0.0,0.0,0.004350370659383535,0.0,0.003258145363408521,0.0,0.0025529703121655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001690876950272846,0.0022794620469569183,0.0,0.00620469917457005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007595232530965179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038783935943950956,0.0006825273010920437,0.0,0.0,0.0,0.0,0.0037381552638442147,0.0,0.0010620946022835034,0.00035751526888127514,0.0,0.0,0.0,0.0,0.0,0.0006121767521240679,0.0,0.0,0.0,0.04428875265857626,0.0,0.0
k__Bacteria,0.9508706619970118,0.8207377815984424,0.8825385752487259,0.50974841830299,0.9682122395969711,0.6715789738177812,0.48368804186984227,0.9875396799424022,0.0,0.0,0.771856059551323,0.40025562050830776,0.0002029328204132771,0.6941936353310362,0.7291250264537822,0.12987400389210074,0.9332862765229295,0.00024921497283556795,0.0,0.3973963474827249,0.9135863804981448,0.0,0.0006138028925461312,0.6065060466860442,0.9343207086502958,0.0004954219343474192,0.0,0.0,0.0,0.989777557566433,0.0,0.0,0.7765795980317757,0.8138905718553356,0.8190862196020626,0.0,0.0,0.7267441860465115,0.0,0.0,0.9157791161618891,0.0006132018756763256,0.0,0.0,0.841684657046548,0.2286126031704441,0.5822399295113677,0.0,0.9237119690388808,0.0,0.0009390717514483988,0.0,0.5736773198282772,0.0,0.0,0.0,0.8822103225131257,0.0,0.986883173932813,0.9069085578156495,0.0005747493454243566,0.5251701655083468,0.91286561669053,0.7423936950146628,0.0,0.7829144304514938,0.4247554686110617,0.0,0.7273056844547566,0.9905484303215929,0.0024407193342260037,0.45414230809578765,0.0,0.9147236915367485,0.8045292014302744,0.0,0.0,0.9859797357774517,0.0,0.3734832163070293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018202609040629159,0.756392457783275,0.09673989301061121,0.8680257733026703,0.0,0.760691378459678,0.0,0.0,0.00011136533905683682,0.0,0.9558928532790963,0.0,0.0,0.5105677136283376,0.0,0.8604094620715044,0.7542896448224107,0.9691835716484613,0.7217043941411446,0.0,0.22688767614238006,0.41496413978340957,0.7961686437960881,0.6988803159015925,0.28515166853911783,0.957499440966011,0.8018386108273754,0.0,0.0,0.8999868482406532,0.0,0.6714776924056545,0.0014606309019678887,0.991454633424408,0.0,0.6400344285607366,0.7381396193589703,0.042732690328602545,0.7215624962703935,0.6695958554995403,0.0,0.0,0.7981154616926163,0.0,0.0005679881858457344,0.0008527330092947898,0.0010403171986024418,0.0,0.21869447210669168,0.0,0.8700026652452026,0.0,0.0,0.5881439084219127,0.0,0.0,0.7842706366647064,0.7766729940642982,0.0,0.0,0.9870761656360812,0.0,0.8632651986092089,0.0,0.0,0.001367688362437416,0.0,0.6869358439289528,0.0023968971077441567,0.0,0.0003616442759747653,0.0,0.864455715957862,0.7761547280056208,0.5168635875402793,0.0,0.9242211147460787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005081746017838681,0.0015720375589514085,0.8535548369092372,0.8027904867894979,0.0,0.6451053388611557,0.9829318072674882,0.6284682191991392,0.639534160847131,0.0,0.8180886545305486,0.0,0.705537268194114,0.0,0.621034660008812,0.8986186283221581,0.0,0.0,0.8632064277723157,0.0,0.013261242830526432,0.0,0.0,0.7619770974526759,0.0,0.7189647500865187,0.0,0.0,0.0,0.8676897298622744,0.7245574358574437,0.4420117602902539,0.46801872074882994,0.0842880694505311,0.49663167789440715,0.0,0.6481512050181576,0.7108145701121447,0.8129754306199177,0.8090505632894587,0.47510799940414117,0.0,0.0,0.0,0.0,0.0,0.6986235298482542,0.25127671647437116,0.9167676598827084,0.8367394595291012,0.3663580633053922,0.0010968216278761434,0.9398210290827741
k__Bacteria; p__; c__; o__; f__; g__; s__,0.0,0.0022586870959857737,0.0,0.0016189426218924743,0.0,0.0017086285743002161,0.000983186517434181,0.0001472657656183526,0.0,0.0,0.0,0.0,0.0,0.0003754115087692278,0.0025513203376678344,0.0,0.004192334017796031,0.0,0.0,0.0,0.0,0.0,0.0,0.00018749414080809974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005514526994150276,0.0,0.0,0.0,0.0020452221338484265,0.0,0.0,0.0,0.0013145855900385962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006450902339632141,0.0,0.0,0.002462050764298493,0.0,0.0,0.004954563031709203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023979604715147537,0.0,0.002133963163237823,0.0,0.00019894637997167004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006822194873990048,0.0,0.0007494970480335564,0.0032641320660330166,0.0006475377641901001,0.0032435385298234835,0.0,0.0,0.0017572934822984829,0.0,0.004247525524121268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005613352293989971,0.0010036993490292793,0.0,0.0,0.0009052168342478345,0.0,0.0,0.00026977030985047017,0.0,0.0,0.0,0.0,0.0,0.002011208091695468,0.0,0.0014658848614072495,0.0,0.0,0.013246116107931315,0.0,0.0,0.0,0.010666184579228057,0.0,0.0,0.0,0.0,0.0011063112422294806,0.0,0.0,0.0,0.0,0.010142676890226148,0.0,0.0,0.0,0.0,0.002828716348029653,0.001645649199363929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006566311538650951,0.003256254894686946,0.0,0.0,0.0,0.0004611482591653217,0.0024452411049174214,0.0,0.0006894110193966722,0.0,0.0015643841866831796,0.0,0.0,0.002423459083932466,0.0,0.0,0.01054344509611147,0.0,0.0,0.0,0.0,0.0018695956999298902,0.0,0.0,0.0,0.0,0.0,0.0003473783154195104,0.0,0.0,0.0,0.0,0.0008355527703796543,0.0,0.0070155166721690325,0.009866991219681822,0.02094080615546035,0.030042104464590526,0.0012215105020110233,0.0,0.0,0.0,0.0,0.0,0.017864430675620525,0.006714582939285039,0.0,0.0011595323219634748,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__BPC015; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018342056994586856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__CCU21; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010091928292262243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007009304852191284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003069014462730656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004644921552436003,0.0,0.0,0.0004150967494731464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004396645021645022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002118220224295986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005108883070438726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011093664664117969,0.0,0.0,0.0,0.0008342352092352092,0.0,0.0024043277900220395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005173305742369374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041974844041743257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012825755604297558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027557342063278287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007984510050502026,0.0,0.00018965495441959263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001083815028901734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003672009706877834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008413573899224082,0.0,0.0,0.0,0.0,0.0,0.0009813026793067797,0.0005806625217748446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002005376114690447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009962079825181567,0.0021719356216005495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012800819252432156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008461587585414139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016664141796697471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
