Taxon,ERR1605630,ERR1605631,ERR1605632,ERR1605633,ERR1605634,ERR1605635,ERR1605636,ERR1605637,ERR1605638,ERR1605639,ERR1605640,ERR1605641,ERR1605642,ERR1605643,ERR1605644,ERR1605645,ERR1605646,ERR1605647,ERR1605648,ERR1605649,ERR1605650,ERR1605651,ERR1605652,ERR1605653,ERR1605654,ERR1605655,ERR1605656,ERR1605657,ERR1605658,ERR1605659,ERR1605660,ERR1605661,ERR1605662,ERR1605663,ERR1605664,ERR1605665,ERR1605666,ERR1605667,ERR1605668,ERR1605669,ERR1605670,ERR1605671,ERR1605672,ERR1605673,ERR1605674,ERR1605675,ERR1605676,ERR1605677,ERR1605678,ERR1605679,ERR1605680,ERR1605681
k__Bacteria,0.9348136399682786,0.0,0.0,0.0,0.0,0.00023845481281297194,0.9804551122194517,0.9661770474654583,0.0,0.0,0.0,0.0,0.0,0.5575708387734225,0.0,0.0,0.7925066904549508,0.7821061370457889,0.0,0.0,0.0,0.7214243105584357,0.0,0.8130825838103023,0.6823951434878585,0.6082168759950469,0.6600589674424441,0.7187540026129053,0.7780228870812075,0.0,0.0,0.0,0.0,0.0,0.7435649312947553,0.7828349944629016,0.7147861356932156,0.0,0.0,0.6609280430396768,0.8423832664272133,0.0,0.8795517580746168,0.0,0.3894133215703579,0.0,0.42797338958299525,0.0,0.6556977452772699,0.6875181002027223,0.5516826628046827,0.5760933806146574
k__Bacteria; p__; c__; o__; f__; g__; s__,0.013917525773195875,0.0,0.0,0.0,0.00031997440204783615,0.0,0.0025561097256857858,0.006537941855903761,0.0,0.0,0.0,0.0,0.0,0.00931578390204312,0.0,0.0,0.015789473684210527,0.009195989526789707,0.0,0.0,0.0,0.05708254944248153,0.0,0.020850367947669667,0.0023914643119941135,0.01353263753759066,0.010350668088576627,0.024079719240720342,0.02881566248448918,0.0,0.0,0.0,0.0,0.0,0.019740661892781113,0.051236618678479146,0.028023598820058997,0.0,0.0,0.02273032952252858,0.009824635537713924,0.0,0.008096984879663595,0.0,0.012086457873842082,0.0,0.007853318189193575,0.0,0.017062766605728214,0.011077324066029539,0.00868946218611159,0.009086879432624114
k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,0.0,0.0,0.0018442995558095436,0.0016860175499099515,0.007119430445564354,0.006716477227565376,0.0,0.0,0.000936768149882904,0.0028721067747930393,0.0006820248560169748,0.00022384509919135958,0.001803031041372253,0.0,0.0011743681388817972,0.004284435349788975,0.0,0.0,0.0014314684480496243,0.0010554089709762533,0.011741406139482246,0.0,0.005005541849905253,0.0,0.0,0.0,0.0,0.0,0.0,0.025172553796183515,0.011100897970727568,0.007045890512025971,0.00019570565868933125,0.0013268690992600154,0.0,0.0,0.0,0.008666718254275323,0.0,0.0,0.0,0.006955177743431221,0.0,0.004766094735298431,0.0,0.008222679037724317,0.0,0.010732121984911275,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__Holophagaceae; g__; s__,0.0,0.0,0.0,0.0,0.001839852811775058,0.0,0.0,0.0,0.000312256049960968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003913802046494082,0.0,0.00082233901819872,0.0,0.0,0.0,0.0,0.0,0.0,0.0060901339829476245,0.0,0.002434705621956618,0.0,0.00030620056136769583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013078111996195458,0.0,0.0010998680158380994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,0.0,0.0,0.0,0.00045982296815725947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026100325360220245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001556089970292828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005186966567642759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__,0.0,0.0,0.0,0.00026823006475840133,0.0,0.0,0.0,0.0,0.00039032006245121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001900492178743726,0.0,0.0008169517487873373,0.0016626167029031847,0.0,0.0,0.0008350232613622808,0.0005277044854881266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006334973929145753,0.0,0.003982639775338269,0.0026857654431512983,0.0,0.0,0.0,0.0,0.0,0.0,0.0010011083699810505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
