Taxon,SRR4384702,SRR4384703,SRR4384704,SRR4384705,SRR4384706,SRR4384707,SRR4384708,SRR4384709,SRR4384710,SRR4384711,SRR4384712,SRR4384713,SRR4384714,SRR4384715,SRR4384716,SRR4384717,SRR4384718,SRR4384719,SRR4384720,SRR4384721,SRR4384722,SRR4384723,SRR4384724,SRR4384725,SRR4384726,SRR4384727,SRR4384728,SRR4384729,SRR4384730,SRR4384731,SRR4384732,SRR4384733,SRR4384734,SRR4384735,SRR4384736,SRR4384737,SRR4384738,SRR4384739,SRR4384740,SRR4384741
k__Bacteria,0.6112506979341148,0.0,0.0,0.002451731535396874,0.004488330341113106,0.399237933954276,0.0035932446999640674,0.01827318410232983,0.5187694044594976,0.0,0.0017110266159695818,0.0,0.6112843776580663,0.4057052297939777,0.0,0.0,0.004433833560709414,0.0043456032719836404,0.009317927692881103,0.15564441710243,0.0447585394581861,0.7827044891214541,0.5639013452914798,0.574699484831139,0.6118119266055048,0.0,0.0,0.5281995661605208,0.6883248730964466,0.5291363163371487,0.0,0.0,0.6621951219512198,0.0,0.5305747126436788,0.5551763367463028,0.5910184442662391,0.33203242269588723,0.0,0.0
k__Bacteria; p__; c__; o__; f__; g__; s__,0.00809603573422669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00366920688681908,0.0,0.0,0.0,0.02069747660901616,0.052750735793525017,0.0,0.0,0.0,0.0,0.0,0.005229160258382036,0.0,0.0,0.0,0.0,0.013188073394495414,0.0,0.0,0.0,0.01116751269035533,0.0,0.0,0.0,0.0,0.0,0.005670498084291188,0.013031337263419174,0.0,0.01621134794356049,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,0.0,0.0,0.0,0.0,0.0017953321364452424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008526603001364257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.005749191519942508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005408062930186824,0.003751705320600273,0.00894683026584867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035763957878005167
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039303761931499155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016791044776119403,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.001437297879985627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036982248520710057,0.0012291052114060963,0.0,0.0,0.0,0.0,0.01060070671378092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004447170679343659,0.0,0.0,0.0,0.0,0.0031233732431025507,0.0005960659646334195
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__; s__,0.0,0.0009060022650056625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002052238805970149,0.0,0.0,0.0,0.0,0.0,0.0,0.0072074835147983435,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,0.0,0.0,0.0,0.0006129328838492185,0.19030520646319568,0.0,0.0010779734099892202,0.0,0.0,0.0,0.003612167300380228,0.0,0.0,0.0,0.0,0.0,0.0,0.007668711656441719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066815144766146995,0.0,0.0,0.0,0.0,0.0,0.010754340144415425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__europaeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176305446378439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
