Taxon,SRR8611586,SRR8611587,SRR8611588,SRR8611589,SRR8611590,SRR8611591,SRR8611592,SRR8611593,SRR8611594,SRR8611595,SRR8611596,SRR8611597,SRR8611598,SRR8611599,SRR8611600,SRR8611601,SRR8611602,SRR8611603,SRR8611604,SRR8611605,SRR8611606,SRR8611607,SRR8611608,SRR8611609,SRR8611610,SRR8611611,SRR8611612,SRR8611613,SRR8611614,SRR8611615,SRR8611616,SRR8611617,SRR8611618,SRR8611619,SRR8611620,SRR8611621,SRR8611622,SRR8611623,SRR8611624,SRR8611625,SRR8611626,SRR8611627,SRR8611628,SRR8611629,SRR8611630,SRR8611631,SRR8611632,SRR8611633,SRR8611634,SRR8611635,SRR8611636,SRR8611637,SRR8611638,SRR8611639,SRR8611640,SRR8611641,SRR8611642,SRR8611643,SRR8611644,SRR8611645,SRR8611646,SRR8611647,SRR8611648,SRR8611649,SRR8611650,SRR8611651,SRR8611652,SRR8611653,SRR8611654,SRR8611655,SRR8611656,SRR8611657
k__Bacteria,0.0,0.0008864686886595327,0.9144981412639406,0.9649769078513307,0.9799736495388666,0.0,0.0,0.9006060606060607,0.020785219399538105,0.0,0.4950139146567718,0.8511087645195351,0.0,0.9473832038198671,0.983765795745829,0.0,0.0,0.8610354223433242,0.0,0.0,0.7931717438460815,0.0008957563542716381,0.0,0.00015071590052750564,0.0,0.0,0.0003632401017072285,0.8318048780487802,0.8329419949560827,0.0006406632749199171,0.9949339605572644,0.0,0.0008738712496358869,0.8630549285176823,0.0,0.0,0.9476635514018691,0.0005129257283545343,0.0012580726327266628,0.0,0.7678571428571429,0.48666317991631797,0.0012645422357106728,0.0,0.000243605359317905,0.0,0.0001722207870489968,0.00017769090666785127,0.6461170848267622,0.00025688073394495415,0.0007785332433694919,0.9937228943163663,0.9083191107610172,0.0,0.9864220843449331,0.0,0.0034395365677045617,0.0006255519576096555,0.0,0.7873212678732127,0.9801037326757926,0.9690460387377059,0.0004928536224741252,0.0,0.7979612964880141,0.8627091885064729,0.0,0.0010823812387251955,0.8169230769230765,0.8962185680465801,0.0,0.7675249605885444
k__Bacteria; p__; c__; o__; f__; g__; s__,0.0,0.0,0.0,0.0005498130635583902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012319605772615277,0.0,0.0,0.0004047308539821019,0.0,0.0,0.0,0.0,0.0,0.0009431293030274451,0.0,0.0,0.0,0.0,0.0,0.0,0.00208130081300813,0.0013044612575006521,0.0,0.0003618599601954044,0.0,0.0,0.001053423626787058,0.0,0.0,0.0,0.0,0.0,0.0,0.055714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011989329496747895,0.0,0.0,0.0,0.0,0.0008999100089991,0.0,0.0010861039039401436,0.0,0.0,0.003742932229035598,0.0,0.0,0.0,0.0037179487179487183,0.0,0.0,0.0029427220178665264
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275002291685764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.00031730921783277807,0.0,0.0,0.0,0.0,0.0,0.0009403546480386889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014249698564068837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018053912718670236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004641448131817127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012375216566289909,0.0,0.002015451797111186,0.0,0.0016578749058025622,0.004332018256362652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007693885925318014,0.0031871173362408786,0.0,0.0,0.0,0.0013488450514247176,0.0035485276722903563,0.0,0.0010966762274337775,0.0010763799190562301,0.0,0.0,0.0001834862385321101,0.0,0.0,0.0,0.0,0.0,0.0006011873450063876,0.0,0.0,0.0026101642868109932,0.0,0.0,0.0,0.0,0.007883399028325237,0.0,0.0,0.0005681818181818182,0.0,0.0,0.0,0.004708438971387179,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007587253414264037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010747735298633502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006036460219727152,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006782215523737754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003288391976323578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000243605359317905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0010048125231371305,0.0,0.0,0.0,0.0,0.0,0.00967221923696937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015825169555388093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004274909569220651,0.0018448393047868724,0.0,0.0,0.0,0.0,0.0,0.0,0.0006467544684854187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053738676493167515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,0.0,0.03191287279174318,0.0,0.0,0.0,0.01981981981981982,0.026389549949759374,0.0,0.0,0.0,0.0,0.0,0.12882858678130038,0.0,0.0,0.0,0.0,0.0,0.0,0.021202871050243384,0.0,0.036390101892285295,0.013639679066374907,0.12366239638281841,0.09344782238725151,0.0,0.0,0.0,0.0,0.002035048049745619,0.0,0.1414008549819138,0.06583163413923682,0.0,0.006963663958575127,0.014279532669839896,0.0,0.003949528108329914,0.041264782353434545,0.04539040451552212,0.0,0.0,0.07637835103692463,0.11367739525617876,0.0792935444579781,0.04015522186603678,0.025101179712391283,0.016480831593443206,0.0,0.020990825688073388,0.010172834380028027,0.0,0.0,0.0027516624627379038,0.0,0.0037574209062899225,0.010725923244026067,0.01700029437739182,0.23353293413173648,0.0,0.0,0.0,0.008809758501724987,0.04693372444770373,0.0,0.0,0.01066919191919192,0.03511725796752856,0.0,0.0,0.197875166002656,0.0
